date,mua_vao,ban_ra
26/01/2010,26400.0,26450.0
27/01/2010,26390.0,26440.0
28/01/2010,26440.0,26500.0
29/01/2010,26380.0,26430.0
30/01/2010,26370.0,26420.0
31/01/2010,26370.0,26420.0
01/02/2010,26320.0,26380.0
02/02/2010,26390.0,26450.0
03/02/2010,26480.0,26540.0
04/02/2010,26370.0,26430.0
05/02/2010,24900.0,25000.0
06/02/2010,25200.0,25300.0
07/02/2010,25200.0,25300.0
08/02/2010,25080.0,25180.0
09/02/2010,25160.0,25260.0
10/02/2010,25660.0,25760.0
11/02/2010,26150.0,26250.0
12/02/2010,26320.0,26420.0
13/02/2010,26320.0,26420.0
14/02/2010,26320.0,26420.0
15/02/2010,26320.0,26420.0
16/02/2010,26320.0,26420.0
17/02/2010,26320.0,26420.0
18/02/2010,26550.0,26650.0
19/02/2010,26500.0,26600.0
20/02/2010,26650.0,26750.0
21/02/2010,26650.0,26750.0
22/02/2010,26600.0,26680.0
23/02/2010,26550.0,26620.0
24/02/2010,26380.0,26450.0
25/02/2010,26260.0,26320.0
26/02/2010,26410.0,26470.0
27/02/2010,26540.0,26600.0
28/02/2010,26540.0,26600.0
01/03/2010,26550.0,26610.0
02/03/2010,26520.0,26580.0
03/03/2010,26640.0,26690.0
04/03/2010,26700.0,26760.0
05/03/2010,26720.0,26780.0
06/03/2010,26720.0,26780.0
07/03/2010,26720.0,26780.0
08/03/2010,26770.0,26820.0
09/03/2010,26640.0,26690.0
10/03/2010,26620.0,26670.0
11/03/2010,26370.0,26430.0
12/03/2010,26500.0,26570.0
13/03/2010,26370.0,26450.0
14/03/2010,26370.0,26450.0
15/03/2010,26390.0,26450.0
16/03/2010,26430.0,26490.0
17/03/2010,26570.0,26630.0
18/03/2010,26450.0,26510.0
19/03/2010,26460.0,26510.0
20/03/2010,26340.0,26400.0
21/03/2010,26340.0,26400.0
22/03/2010,26340.0,26400.0
23/03/2010,26260.0,26320.0
24/03/2010,26050.0,26100.0
25/03/2010,25900.0,25960.0
26/03/2010,26100.0,26170.0
27/03/2010,26240.0,26300.0
28/03/2010,26240.0,26300.0
29/03/2010,26200.0,26250.0
30/03/2010,26190.0,26240.0
31/03/2010,26080.0,26130.0
01/04/2010,26070.0,26130.0
02/04/2010,26100.0,26150.0
03/04/2010,26100.0,26160.0
